PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,GoodRowThemes,CountGoodRowThemes
TBwCB,rnb2rk1/ppp2ppp/1b6/2qPN3/2B5/5Q2/P4PPP/RN2R1K1 b - - 4 15,f7f6 d5d6 g8h8 e5f7,1847,75,95,4374,crushing discoveredAttack kingsideAttack opening short Pawn Knight,https://lichess.org/OsGYXLVS/black#Some(29),Italian_Game Italian_Game_Evans_Gambit,"['crushing', 'discoveredAttack', 'kingsideAttack', 'opening', 'Pawn', 'Knight']",6
TZq55,6k1/2p3bp/1p4p1/1qpP4/4B3/4BPNb/r6P/2R1Q1K1 w - - 2 28,e3f2 a2f2 e1f2 g7d4,1797,76,96,9719,crushing middlegame pin sacrifice short Rook Bishop,https://lichess.org/5LaOZ7qp#Some(54),,"['crushing', 'middlegame', 'pin', 'sacrifice', 'Rook', 'Bishop']",6
LBXKd,r1bqkb1r/pp1n4/4N1p1/3pP3/2pn1PQ1/2N5/PPP4P/R1B1K2R b KQkq - 0 13,d4e6 g4g6 e8e7 c3d5,1873,75,94,1190,fork mate mateIn2 middlegame short Queen Knight,https://lichess.org/SbKOh254/black#Some(25),French_Defense French_Defense_Steinitz_Variation,"['fork', 'mateIn2', 'middlegame', 'Queen', 'Knight']",5
nNGpc,8/p1p1r1pk/1p4r1/3P4/2NQR2p/2P2q1P/P5P1/4R1K1 w - - 1 34,e4h4 h7g8 h4h8 g8h8 d4h4 h8g8,1765,76,93,1002,advantage defensiveMove long middlegame pin King,https://lichess.org/iOjEYBhJ#Some(66),,"['advantage', 'defensiveMove', 'middlegame', 'pin', 'King']",5
uqKCc,5rn1/1p1q2pk/p5p1/3pQ1Pp/3P1r1P/2P2PK1/PP1N4/4RR2 w - - 3 29,d2b3 f4f3 f1f3 d7g4 g3h2 f8f3,1875,75,92,1356,attraction crushing deflection long middlegame sacrifice Rook Queen,https://lichess.org/zlXvgDBM#Some(56),,"['attraction', 'crushing', 'deflection', 'middlegame', 'sacrifice', 'Rook', 'Queen']",7
z6HMk,2k2b1r/pp2pQpp/2p2n2/q7/4N3/7P/PPP2PP1/3R2K1 b - - 1 15,f6e4 f7e8 c8c7 e8d8,1817,75,95,11060,endgame mate mateIn2 queensideAttack short Queen,https://lichess.org/rj63NViy/black#Some(29),Scandinavian_Defense Scandinavian_Defense_Mieses-Kotroc_Variation,"['endgame', 'mateIn2', 'queensideAttack', 'Queen']",4
Xib4v,rnbq1rk1/pp1n1ppp/2p1p3/3pP3/1b1P4/2NB1N2/PPPB1PPP/R2Q1RK1 b - - 5 8,c6c5 d3h7 g8h7 f3g5 d8g5 d2g5,1721,75,91,1669,attraction crushing kingsideAttack long opening sacrifice Bishop Knight,https://lichess.org/SOZ4RDXo/black#Some(15),Caro-Kann_Defense Caro-Kann_Defense_Campomanes_Attack,"['attraction', 'crushing', 'kingsideAttack', 'opening', 'sacrifice', 'Bishop', 'Knight']",7
8ozh9,2r2rk1/3n1pp1/p4b1p/q1pB4/4N3/1P2P1P1/P1Q4P/2KR3R b - - 2 22,d7b6 e4f6 g7f6 c2g6,1799,74,97,1716,clearance crushing kingsideAttack middlegame pin short Knight Queen,https://lichess.org/uQEyewr8/black#Some(43),,"['clearance', 'crushing', 'kingsideAttack', 'middlegame', 'pin', 'Knight', 'Queen']",7
AjYoy,r6r/1b1nbkN1/5n1p/1p6/2q4B/1PN4Q/P1P3PP/1K1R4 b - - 0 20,c4g4 h3g4 f6g4 d1d7,1875,75,93,4106,advantage capturingDefender middlegame pin short Queen Rook,https://lichess.org/17LKkRyJ/black#Some(39),,"['advantage', 'capturingDefender', 'middlegame', 'pin', 'Queen', 'Rook']",6
r4nxh,3r3k/pp1r1ppp/2p2n2/8/1P2P3/P1B2P2/4K2P/2R3R1 w - - 6 24,g1g7 h8g7 c1g1 g7f8 c3f6 d7d2,1732,74,92,1431,advantage endgame hangingPiece long King Rook,https://lichess.org/UbFgQnz7#Some(46),,"['advantage', 'endgame', 'hangingPiece', 'King', 'Rook']",5
