PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,GoodRowThemes,CountGoodRowThemes
YXxgR,r1b2rk1/p1p3p1/pb1pP3/6Q1/8/P4N2/1q3PPP/RN2R1K1 w - - 0 19,e6e7 b2f2 g1h1 f2e1 f3e1 f8f1,1873,77,83,1359,backRankMate clearance long mate mateIn3 middlegame sacrifice Queen Rook,https://lichess.org/OGzErZ06#Some(36),Italian_Game Italian_Game_Anti-Fried_Liver_Defense,"['clearance', 'mateIn3', 'middlegame', 'sacrifice', 'Queen', 'Rook']",6
2M72O,8/p1Q2k1p/2p3pP/8/2bqP3/8/6BK/8 b - - 3 37,f7e6 g2h3 e6f6 c7g7 f6g5 g7d4,1925,74,95,3642,crushing endgame exposedKing long skewer Bishop Queen,https://lichess.org/T3kLw59P/black#Some(73),,"['crushing', 'endgame', 'exposedKing', 'skewer', 'Bishop', 'Queen']",6
IJsVw,1n1k3r/Q4pp1/3qp1b1/1R6/8/3P3P/P4P2/6K1 b - - 2 28,d8c8 a7b7 c8d8 b7b8 d6b8 b5b8 d8d7 b8h8,1875,77,92,1808,crushing deflection endgame exposedKing skewer veryLong Queen Rook,https://lichess.org/dMfzra9P/black#Some(55),,"['crushing', 'deflection', 'endgame', 'exposedKing', 'skewer', 'Queen', 'Rook']",7
wWG5x,r2qr3/pQ1n2bk/3p2bp/8/2pP4/4PN2/PP1B1PP1/2KR3R b - - 0 21,d7b6 h1h6 h7g8 h6g6,1996,75,93,1313,crushing deflection middlegame pin short Rook,https://lichess.org/Yj4aqV4x/black#Some(41),,"['crushing', 'deflection', 'middlegame', 'pin', 'Rook']",5
TO1EW,6k1/p1r3pR/2n1p1p1/q1ppP1N1/3P2P1/P2Q4/1P3r2/1K1R4 w - - 0 24,d3g6 f2b2 b1b2 c7b7 b2c2 a5a4 c2c1 a4a3 c1d2 b7b2,1994,78,91,1116,attraction crushing middlegame queensideAttack sacrifice veryLong Rook Queen,https://lichess.org/MuObDeKF#Some(46),,"['attraction', 'crushing', 'middlegame', 'queensideAttack', 'sacrifice', 'Rook', 'Queen']",7
4xX59,1k1r2r1/2pR3p/Bp6/8/P1Q2Ppq/BP3nR1/2P3K1/8 b - - 0 27,d8d7 c4g8 b8a7 g8g4 h4g4 g3g4,1910,74,92,2220,advantage fork hangingPiece long middlegame Queen Rook,https://lichess.org/6alXkZJ6/black#Some(53),,"['advantage', 'fork', 'hangingPiece', 'middlegame', 'Queen', 'Rook']",6
34idK,8/8/8/b5PP/8/1k6/7K/8 b - - 0 48,b3c4 g5g6 a5c3 h5h6 c3d2 g6g7 d2h6 g7g8q,1888,75,95,7250,advancedPawn bishopEndgame crushing endgame promotion veryLong Pawn,https://lichess.org/61A8mesG/black#Some(95),,"['advancedPawn', 'crushing', 'endgame', 'promotion', 'Pawn']",5
wF4Co,r2r3k/ppq3pp/3bBB2/3b4/8/P6P/1P1Q1PP1/3RR1K1 b - - 0 24,d5e6 f6d8 a8d8 e1e6,1952,77,93,3159,crushing intermezzo middlegame short Bishop Rook,https://lichess.org/LJLcENIb/black#Some(47),,"['crushing', 'intermezzo', 'middlegame', 'Bishop', 'Rook']",5
mW7w5,3r2k1/2p1qpR1/4bn1B/2p1Q3/p1P5/P1P4P/1P3PPK/r7 b - - 0 25,g8f8 g7g8 f8g8 e5g5 g8h7 g5g7,1930,78,92,147149,attraction doubleCheck long mate mateIn3 middlegame sacrifice Rook Queen,https://lichess.org/5nQkdjxK/black#Some(49),,"['attraction', 'doubleCheck', 'mateIn3', 'middlegame', 'sacrifice', 'Rook', 'Queen']",7
ENM09,r1bqk1nr/ppppbppp/8/4P3/2Q5/5N2/PB1N1PPP/R4RK1 b kq - 2 13,d7d5 e5d6 c7d6 b2g7,1909,77,94,2476,advantage discoveredAttack enPassant middlegame short Pawn Bishop,https://lichess.org/QwMCqJ8c/black#Some(25),Italian_Game Italian_Game_Evans_Gambit,"['advantage', 'discoveredAttack', 'enPassant', 'middlegame', 'Pawn', 'Bishop']",6
3rnh0,r4R2/2k5/b2p1NNp/p7/2pPB1P1/P1n1K2P/1p6/8 w - - 6 35,f8a8 c3e4 f6e4 b2b1q,1877,75,93,2566,advancedPawn crushing endgame promotion short Knight Pawn,https://lichess.org/XznbbFuz#Some(68),,"['advancedPawn', 'crushing', 'endgame', 'promotion', 'Knight', 'Pawn']",6
PDoz1,rr5k/6p1/4P2p/8/p2PQ3/4P2P/6PK/8 w - - 0 38,d4d5 a4a3 d5d6 a3a2 e6e7 a2a1q d6d7 b8e8,1986,75,94,6547,advancedPawn crushing endgame promotion queenRookEndgame veryLong Pawn Rook,https://lichess.org/ltBEB9Rk#Some(74),,"['advancedPawn', 'crushing', 'endgame', 'promotion', 'Pawn', 'Rook']",6
z1aUy,3r3r/kp6/Bnp5/4R2p/4P3/2qP1PQ1/R6P/7K b - - 0 27,b7a6 e5e7 d8d7 e7d7 b6d7 g3c7 a7a8 a2a6,1890,75,88,1006,deflection fork mate mateIn4 middlegame veryLong Rook Queen,https://lichess.org/WGYtXgPg/black#Some(53),,"['deflection', 'fork', 'mateIn4', 'middlegame', 'Rook', 'Queen']",6
C9p9k,r1b3k1/p3qrp1/2p2n1B/1p2p1Q1/2p1N2P/4P1R1/PP3PP1/2KR4 b - - 7 20,f6e4 d1d8 e7d8 g5d8,1926,74,94,13044,crushing kingsideAttack middlegame pin short xRayAttack Rook Queen,https://lichess.org/FRTufCMo/black#Some(39),,"['crushing', 'kingsideAttack', 'middlegame', 'pin', 'xRayAttack', 'Rook', 'Queen']",7
vJpPK,r4rk1/ppp2pbp/1q4p1/4PnB1/1n1P4/1PN2N2/P1PQ2PP/R3K2R w KQ - 5 14,g2g4 f5d4 f3d4 b6d4 d2d4 b4c2 e1f2 c2d4,1929,74,88,1023,advantage attraction capturingDefender deflection exposedKing fork middlegame sacrifice veryLong Knight Queen,https://lichess.org/bpgtApjN#Some(26),Modern_Defense Modern_Defense_Other_variations,"['advantage', 'attraction', 'capturingDefender', 'deflection', 'exposedKing', 'fork', 'middlegame', 'sacrifice', 'Knight', 'Queen']",10
tO2xu,5rk1/6b1/pnpq1P2/1p1p3Q/3P4/2P3NP/P1B2P1K/8 b - - 0 37,d6f6 c2h7 g8h8 h7g6 g7h6 h5h6 h8g8 h6h7,1897,73,95,7021,discoveredAttack exposedKing mate mateIn4 middlegame veryLong Bishop Queen,https://lichess.org/VACPXZ27/black#Some(73),,"['discoveredAttack', 'exposedKing', 'mateIn4', 'middlegame', 'Bishop', 'Queen']",6
s4ImK,r2qnr2/ppp1b1pk/3p3B/4pN2/8/3P1Q1P/PPP2P2/2KR2R1 w - - 3 19,h6g7 e7g5 c1b1 e8g7,1968,77,95,13526,advantage intermezzo middlegame short Bishop Knight,https://lichess.org/MH4pcvjW#Some(36),Russian_Game Russian_Game_Three_Knights_Game,"['advantage', 'intermezzo', 'middlegame', 'Bishop', 'Knight']",5
gWrOa,r2q1rk1/pp2bppp/2b2n2/2P5/1P1p4/2N2N2/P1P1QPPP/R1B2RK1 w - - 0 12,c3b5 d4d3 e2d3 d8d3 c2d3 c6b5,1979,75,95,7789,capturingDefender crushing long middlegame Pawn Queen Bishop,https://lichess.org/qJ8OKMRf#Some(22),Sicilian_Defense Sicilian_Defense_Marshall_Gambit,"['capturingDefender', 'crushing', 'middlegame', 'Pawn', 'Queen', 'Bishop']",6
jXpRv,5rk1/5Npp/1p2pn2/8/q7/2P3P1/PP2QK1P/4R3 w - - 1 28,f7g5 f6e4 f2g1 e4g5,1889,76,93,3125,crushing doubleCheck endgame short Knight,https://lichess.org/APY2YSHX#Some(54),,"['crushing', 'doubleCheck', 'endgame', 'Knight']",4
eruRl,rq3rk1/5ppp/P1b1p3/2NpPn2/1p1P4/1Qn2N2/5PPP/R3KB1R w KQ - 4 21,f1d3 f5d4 f3d4 b8e5,1926,75,94,10065,capturingDefender crushing deflection middlegame short Knight Queen,https://lichess.org/iRU1LFm9#Some(40),,"['capturingDefender', 'crushing', 'deflection', 'middlegame', 'Knight', 'Queen']",6
KW8qa,6Q1/6b1/7k/p6p/1p6/3B2RP/P4q2/3K4 b - - 28 56,f2g3 g8h7 h6g5 h7g7,1887,75,95,2613,crushing deflection endgame interference short Queen,https://lichess.org/dfddhcJX/black#Some(111),,"['crushing', 'deflection', 'endgame', 'interference', 'Queen']",5
Iue7z,r2k4/p2b1Qpp/2pP3q/1p3P2/3p4/8/P5PP/4R2K b - - 0 29,d8c8 e1e8 c8b7 f7d7 b7b6 d7c7 b6c5 e8e5,1971,74,88,1301,crushing deflection endgame exposedKing queensideAttack veryLong Rook Queen,https://lichess.org/wyZp9xiA/black#Some(57),,"['crushing', 'deflection', 'endgame', 'exposedKing', 'queensideAttack', 'Rook', 'Queen']",7
5hkxE,8/2P2p1k/3q2pp/4n3/8/2Q2P1P/5P1K/8 w - - 1 38,c7c8q e5g4 h2g1 d6h2 g1f1 h2f2,1986,73,95,10374,doubleCheck endgame long mate mateIn3 Knight Queen,https://lichess.org/hkNyJAVF#Some(74),,"['doubleCheck', 'endgame', 'mateIn3', 'Knight', 'Queen']",5
DVBa2,5rk1/pp4p1/2p3b1/4pp2/4PqP1/2NB4/PPP1Q1K1/7R w - - 0 27,e2f3 f4f3 g2f3 f5e4 f3e3 e4d3,1873,75,92,2044,advantage attraction doubleCheck exposedKing fork long middlegame Queen Pawn,https://lichess.org/iS3vRo8c#Some(52),,"['advantage', 'attraction', 'doubleCheck', 'exposedKing', 'fork', 'middlegame', 'Queen', 'Pawn']",8
s3eXt,5k2/ppb2p2/2p5/6Q1/P3p3/4P2q/5P2/5RK1 w - - 4 44,g5c5 f8e8 f2f4 e4f3,1924,74,93,7037,crushing defensiveMove enPassant endgame short King Pawn,https://lichess.org/iRXRMhpd#Some(86),,"['crushing', 'defensiveMove', 'enPassant', 'endgame', 'King', 'Pawn']",6
RCmFr,4k3/R4ppp/3bpq2/7Q/1p6/3P4/2r2PPP/5RK1 w - - 0 24,h5h7 f6f2 f1f2 c2c1 f2f1 d6c5 d3d4 c5d4 g1h1 c1f1,1963,75,95,15418,backRankMate deflection endgame fork mate mateIn5 sacrifice veryLong Queen Rook Bishop,https://lichess.org/ndlX9Lmo#Some(46),,"['deflection', 'endgame', 'fork', 'mateIn5', 'sacrifice', 'Queen', 'Rook', 'Bishop']",8
Xiq9H,8/p4pk1/1pR5/4p1p1/3r1bP1/5K2/PP3P1q/4RQ2 w - - 2 31,f1h1 e5e4 f3e2 d4d2 e2f1 h2h1,1946,74,92,1284,endgame interference long mate mateIn3 Pawn Rook Queen,https://lichess.org/cCLNhLcn#Some(60),,"['endgame', 'interference', 'mateIn3', 'Pawn', 'Rook', 'Queen']",6
vCys1,6r1/pp1q1p1k/3p1p1p/2p1nPr1/7Q/7R/PPB2PPP/R5K1 b - - 9 22,g5g2 g1h1 e5g4 h1g2,1882,74,91,1145,advantage interference middlegame short King,https://lichess.org/j5kdkfI2/black#Some(43),,"['advantage', 'interference', 'middlegame', 'King']",4
Tw5H2,2r2rk1/1q3pp1/1p1N3p/p1n1p3/8/Qb2P3/4BPPP/2R1R1K1 b - - 1 25,b7a7 d6c8 f8c8 c1c5 c8c5 a3b3,1958,77,92,6121,advantage capturingDefender long middlegame Knight Rook Queen,https://lichess.org/Tg0gmWTa/black#Some(49),,"['advantage', 'capturingDefender', 'middlegame', 'Knight', 'Rook', 'Queen']",6
FpNzX,r3r1k1/pb2qpp1/4p2p/1p1pP3/1PnP1P2/P5RQ/6PP/RB4K1 b - - 4 21,a8c8 h3h6 f7f5 e5f6 e7f6 h6f6,1890,75,95,2357,crushing enPassant long middlegame pin Queen Pawn,https://lichess.org/7DQEGKNg/black#Some(41),,"['crushing', 'enPassant', 'middlegame', 'pin', 'Queen', 'Pawn']",6
cNRxC,r4rk1/5pp1/pp2p2p/4P3/3PQ2R/2P3q1/PP4P1/1K5R b - - 1 20,f7f5 e5f6 f8f6 e4a8,1956,74,92,1716,crushing deflection enPassant endgame short Pawn Queen,https://lichess.org/8mnSfzN1/black#Some(39),,"['crushing', 'deflection', 'enPassant', 'endgame', 'Pawn', 'Queen']",6
tVQMs,6rk/1pR5/p6p/5p1q/1r3Q2/2bB1P2/P6P/3R3K w - - 6 38,f4f5 h5h2 h1h2 b4h4 f5h3 c3e5 f3f4 e5f4 h2h1 h4h3,1891,75,95,7618,attraction fork mate mateIn5 middlegame pin sacrifice veryLong Queen Rook Bishop,https://lichess.org/js1zw1h0#Some(74),,"['attraction', 'fork', 'mateIn5', 'middlegame', 'pin', 'sacrifice', 'Queen', 'Rook', 'Bishop']",9
oTYyF,r4rk1/pp2q1pp/8/3pNb1Q/2pPn3/2P1PP2/P1B5/R3K2R b KQ - 0 21,e4g3 h5h7 f5h7 c2h7 g8h8 e5g6,1954,74,90,1418,kingsideAttack long mate mateIn3 middlegame sacrifice xRayAttack Queen Bishop Knight,https://lichess.org/7XkVQawS/black#Some(41),,"['kingsideAttack', 'mateIn3', 'middlegame', 'sacrifice', 'xRayAttack', 'Queen', 'Bishop', 'Knight']",8
wBfbu,5r1k/2q3pp/4Q3/p1P1Pp2/P3p1n1/6B1/1r4PP/2R2RK1 w - - 1 30,f1f5 c7c5 c1c5 b2b1 c5c1 b1c1 g3e1 c1e1 f5f1 e1f1,1895,75,92,2368,mate mateIn5 middlegame sacrifice veryLong Queen Rook,https://lichess.org/1cbKMvpr#Some(58),,"['mateIn5', 'middlegame', 'sacrifice', 'Queen', 'Rook']",5
lpWqc,1Rr2k1r/p1Q1nppp/5q2/6N1/3p4/8/P4PP1/7K b - - 6 29,f6f5 c7d8 c8d8 b8d8,1968,77,96,1357,mate mateIn2 middlegame sacrifice short xRayAttack Queen Rook,https://lichess.org/QBuEh95W/black#Some(57),,"['mateIn2', 'middlegame', 'sacrifice', 'xRayAttack', 'Queen', 'Rook']",6
LkytA,2kr1b1r/1p3q1p/1QpPNn2/4p3/8/P2RpPpP/1PP1N1P1/5RK1 b - - 7 24,d8d6 b6d8 d6d8 d3d8,1928,74,94,9037,mate mateIn2 middlegame queensideAttack sacrifice short xRayAttack Queen Rook,https://lichess.org/KNHiKNQo/black#Some(47),,"['mateIn2', 'middlegame', 'queensideAttack', 'sacrifice', 'xRayAttack', 'Queen', 'Rook']",7
vOPms,r3k2r/pp3pbp/2n1b1p1/q2N4/8/P4N1P/1P3PP1/R1BQR1K1 w kq - 3 15,f3g5 e8c8 d5e7 c6e7,1961,76,92,2658,advantage castling middlegame short King Knight,https://lichess.org/vd3JU3Oc#Some(28),Indian_Defense Indian_Defense_Other_variations,"['advantage', 'castling', 'middlegame', 'King', 'Knight']",5
sMZuQ,r2qk2r/pp1n1pp1/4p2p/1Qb5/7P/2B2N2/PPP2PP1/R3K2R b KQkq - 3 16,e8g8 e1c1 d8b6 b5d7,1992,74,94,2719,castling crushing middlegame short King Queen,https://lichess.org/5Fl5unLW/black#Some(31),Caro-Kann_Defense Caro-Kann_Defense_Classical_Variation,"['castling', 'crushing', 'middlegame', 'King', 'Queen']",5
ObkxZ,1R6/5ppk/p6p/2p2P2/2Pp1BP1/3P2P1/q3rrBK/3Q2R1 w - - 7 34,g4g5 f2g2 g1g2 e2g2 h2h3 g2h2 h3g4 h6h5 g4f3 a2g2,1988,76,91,1818,mate mateIn5 middlegame veryLong Rook Pawn Queen,https://lichess.org/br8lW2HN#Some(66),,"['mateIn5', 'middlegame', 'Rook', 'Pawn', 'Queen']",5
wVJxe,r2qkbnr/pp3ppp/2n1b3/1B2p3/4p3/2P2N2/PP3PPP/RNBQK2R w KQkq - 0 8,f3e5 d8d1 e1d1 e8c8,1893,77,95,6840,castling crushing discoveredAttack opening short Queen King,https://lichess.org/7KM5EsUb#Some(14),Benoni_Defense Benoni_Defense_Old_Benoni,"['castling', 'crushing', 'discoveredAttack', 'opening', 'Queen', 'King']",6
Olt4p,1Q2k1nr/5ppp/2p5/4p3/1b1rq3/2N1B3/PP3P1P/R3K1R1 b Qk - 2 15,d4d8 b8d8 e8d8 e1c1,1985,78,90,2885,castling crushing discoveredAttack middlegame sacrifice short Queen King,https://lichess.org/sC4hWqTA/black#Some(29),Sicilian_Defense Sicilian_Defense_Old_Sicilian,"['castling', 'crushing', 'discoveredAttack', 'middlegame', 'sacrifice', 'Queen', 'King']",7
