PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,GoodRowThemes,CountGoodRowThemes
LV9Z9,3r1rk1/4Q2p/4b1pP/4pp2/1pP5/pP4R1/5PK1/3q2R1 b - - 7 36,e6d5 g2h2 d1h5 g3h3 h5h6 h3h6,1995,78,92,6508,crushing defensiveMove long middlegame King Rook,https://lichess.org/J4yYRUfa/black#Some(71),,"['crushing', 'defensiveMove', 'middlegame', 'King', 'Rook']",5
hAyiJ,5r1k/1pp1n1p1/p2p1q1p/4pN2/PP2Pr2/1BPP4/6RR/3Q2K1 w - - 10 30,d1h5 e7f5 g2g6 f4f1 g1f1 f5g3,1909,77,95,12046,attraction crushing doubleCheck exposedKing kingsideAttack long middlegame sacrifice Knight Rook,https://lichess.org/UG4DXg5J#Some(58),,"['attraction', 'crushing', 'doubleCheck', 'exposedKing', 'kingsideAttack', 'middlegame', 'sacrifice', 'Knight', 'Rook']",9
z7UHy,5r1k/4Q2p/p3p2q/4P3/2RPp1p1/4P3/1r4PP/4R1K1 w - - 0 30,c4c7 h6e3 e1e3 b2b1 c7c1 b1c1 e3e1 c1e1,1934,78,96,11693,endgame mate mateIn4 sacrifice veryLong Queen Rook,https://lichess.org/kxwYlELo#Some(58),,"['endgame', 'mateIn4', 'sacrifice', 'Queen', 'Rook']",5
myTwg,8/8/7p/3KP1p1/3p2P1/3k4/6P1/8 b - - 0 42,d3e3 e5e6 d4d3 e6e7 d3d2 e7e8q e3f2 e8a4,1981,76,94,8109,advancedPawn crushing defensiveMove endgame pawnEndgame promotion veryLong Pawn Queen,https://lichess.org/5ndAwFge/black#Some(83),,"['advancedPawn', 'crushing', 'defensiveMove', 'endgame', 'promotion', 'Pawn', 'Queen']",7
Cj8Qs,rn1qk2r/pbpp1ppp/1p2p3/8/2PP3n/2NBPN2/PP3PPP/R2QK2R w KQkq - 3 9,e1g1 b7f3 d1f3 h4f3,1882,75,95,2559,crushing kingsideAttack opening short Bishop Knight,https://lichess.org/CCvfzq5z#Some(16),English_Defense English_Defense_Other_variations,"['crushing', 'kingsideAttack', 'opening', 'Bishop', 'Knight']",5
xORQN,8/6R1/3k1p2/3BpK1p/2Pb2P1/6r1/8/8 w - - 0 47,f5f6 e5e4 f6f5 d4g7,1974,77,95,13944,crushing discoveredAttack endgame short skewer Pawn Bishop,https://lichess.org/E8xTdLNW#Some(92),,"['crushing', 'discoveredAttack', 'endgame', 'skewer', 'Pawn', 'Bishop']",6
R2ehn,r1b1k3/p1ppr1p1/n4np1/1pB3Np/2B5/3P4/PPP2PPP/4RK2 b q - 1 21,b5c4 e1e7 e8f8 e7f7 f8g8 f7f8,1884,80,95,10750,doubleCheck long mate mateIn3 middlegame Rook,https://lichess.org/naMFpRcS/black#Some(41),,"['doubleCheck', 'mateIn3', 'middlegame', 'Rook']",4
fBgg5,r3k2r/ppq1b1pp/2p2p2/3pNb2/8/2NP4/PPP1QPPP/2K1RB1R b kq - 0 11,c7e5 e2h5 f5g6 e1e5 g6h5 e5h5,1946,75,94,4071,crushing discoveredAttack long middlegame Queen Rook,https://lichess.org/SHx9DHmK/black#Some(21),Duras_Gambit Duras_Gambit_Other_variations,"['crushing', 'discoveredAttack', 'middlegame', 'Queen', 'Rook']",5
Jqxjx,r2r2k1/2R2p1p/4q1p1/p7/8/5QP1/4RPKP/8 b - - 1 33,e6d5 e2e8 g8g7 f3d5 d8d5 e8a8,1927,77,92,3776,capturingDefender crushing endgame long Rook Queen,https://lichess.org/XiTxkwJd/black#Some(65),,"['capturingDefender', 'crushing', 'endgame', 'Rook', 'Queen']",5
4PUct,r1b2rk1/ppppnppp/8/8/1q6/2N1B1P1/PPP1Q2P/2KR1B2 b - - 5 13,a7a5 a2a3 b4c3 b2c3,1945,76,91,1652,advantage middlegame short trappedPiece Pawn,https://lichess.org/ozERqdfE/black#Some(25),Kings_Gambit_Declined Kings_Gambit_Declined_Queens_Knight_Defense,"['advantage', 'middlegame', 'trappedPiece', 'Pawn']",4
IeDe6,r2q1r1k/pbp2pn1/1b6/2p3N1/2B4P/4P1Q1/PPP3P1/R3K2R b KQ - 0 20,b7d5 e1c1 c7c6 e3e4 d5c4 d1d8,1994,75,89,1157,castling crushing long middlegame King Pawn Rook,https://lichess.org/s1kGqNOQ/black#Some(39),,"['castling', 'crushing', 'middlegame', 'King', 'Pawn', 'Rook']",6
bsIDo,r1q1r1k1/1b3pb1/3Qp1p1/2p1P2p/p4P2/4B3/PPB3PP/R2R2K1 w - - 0 23,d6c5 c8c5 e3c5 e8c8,1883,77,88,1358,advantage clearance middlegame short Queen Rook,https://lichess.org/U3rNoeYh#Some(44),,"['advantage', 'clearance', 'middlegame', 'Queen', 'Rook']",5
S1sLv,7k/p7/1p3Q1b/4P2N/6p1/KP6/P2q2P1/4q3 b - - 1 40,h8h7 f6f7 h7h8 f7e8 h6f8 e8f8 h8h7 f8g7,1978,75,94,9792,endgame exposedKing mate mateIn4 veryLong Queen,https://lichess.org/xzA573zu/black#Some(79),,"['endgame', 'exposedKing', 'mateIn4', 'Queen']",4
nUZpw,5rk1/3nbppp/4p3/8/1r2N3/1P2Q3/PBq2PPP/R4RK1 w - - 3 19,b2d4 e6e5 a1c1 e5d4,1921,74,92,1445,advantage middlegame short xRayAttack Pawn,https://lichess.org/3BpuP2sM#Some(36),Caro-Kann_Defense Caro-Kann_Defense_Exchange_Variation,"['advantage', 'middlegame', 'xRayAttack', 'Pawn']",4
CjMJG,7k/3q1pbp/bp3np1/p1p5/P3pN2/1QP1P2P/BP3PPB/6K1 w - - 7 27,f4d5 c5c4 b3b6 d7d5,1892,75,93,3118,advantage interference middlegame short Pawn Queen,https://lichess.org/g9WPCbco#Some(52),,"['advantage', 'interference', 'middlegame', 'Pawn', 'Queen']",5
