PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,GoodRowThemes,CountGoodRowThemes
VN33N,1n2qr1k/r5p1/pp3nNp/8/2B5/3QP3/1P3PPP/2Rb2K1 b - - 1 23,h8h7 g6f8 h7h8 f8g6,1767,76,91,2082,advantage doubleCheck middlegame short Knight,https://lichess.org/AlU3fcMf/black#Some(45),,"['advantage', 'doubleCheck', 'middlegame', 'Knight']",4
5HHri,2kr1r2/2nq2p1/1QRp4/1P2p3/6np/6P1/P3bP1P/1R4K1 b - - 3 26,f8f2 b6a6 c8b8 c6b6,1680,76,94,1558,mate mateIn2 middlegame pin queensideAttack short Queen Rook,https://lichess.org/076zxIKb/black#Some(51),,"['mateIn2', 'middlegame', 'pin', 'queensideAttack', 'Queen', 'Rook']",6
jYQtW,2r1k2r/1p2pp2/p2p2p1/8/2P1PP1p/1P4nP/P2QNqPK/2RR4 w k - 5 23,e2g3 h4g3 h2h1 h8h3 g2h3 g3g2 h1h2 g2g1q,1674,74,97,2654,advancedPawn discoveredAttack doubleCheck mate mateIn4 middlegame promotion veryLong Pawn Rook,https://lichess.org/ZKqRRWWO#Some(44),,"['advancedPawn', 'discoveredAttack', 'doubleCheck', 'mateIn4', 'middlegame', 'promotion', 'Pawn', 'Rook']",8
7HOtJ,1r1q1rk1/pb4b1/1pn1pP2/2p4Q/4BP2/3Pp3/PPP4P/R4RNK b - - 0 22,d8f6 e4h7 g8h8 h7g6 g7h6 h5h6 h8g8 h6h7,1805,73,95,10523,discoveredAttack exposedKing kingsideAttack mate mateIn4 middlegame veryLong Bishop Queen,https://lichess.org/QkGw6ZSR/black#Some(43),,"['discoveredAttack', 'exposedKing', 'kingsideAttack', 'mateIn4', 'middlegame', 'Bishop', 'Queen']",7
qcc8D,2Rbk2r/5ppp/p4q2/1p6/1P1Pp1nP/P3P1P1/1B2bP2/RQ1B2K1 w k - 1 25,c8d8 e8d8 f2f4 e4f3,1785,74,91,1893,crushing enPassant hangingPiece middlegame short King Pawn,https://lichess.org/FwpVsmJg#Some(48),,"['crushing', 'enPassant', 'hangingPiece', 'middlegame', 'King', 'Pawn']",6
7CLIp,8/2qb1pk1/p2R1p2/5Pr1/7p/B6P/PP1Q2PK/8 w - - 2 35,b2b3 d7c6 g2g4 h4g3,1773,75,94,4577,crushing enPassant endgame short Bishop Pawn,https://lichess.org/c3JMAMGt#Some(68),,"['crushing', 'enPassant', 'endgame', 'Bishop', 'Pawn']",5
je6vK,6k1/1RQ3p1/6qp/1p6/8/4r1P1/2P4P/5K2 w - - 0 43,b7b5 g6f6 c7f4 e3f3 f4f3 f6f3,1685,76,93,2373,advantage endgame exposedKing fork long xRayAttack Queen Rook,https://lichess.org/Dctqzogt#Some(84),,"['advantage', 'endgame', 'exposedKing', 'fork', 'xRayAttack', 'Queen', 'Rook']",7
36Wmx,4r1k1/p5pp/2p5/q7/3rp1Q1/1P2R2P/P5P1/4R1K1 w - - 2 27,e3e4 a5e1 e4e1 e8e1 g1f2 d4g4,1781,75,95,14057,crushing endgame long xRayAttack Queen Rook,https://lichess.org/PY2Z64qd#Some(52),,"['crushing', 'endgame', 'xRayAttack', 'Queen', 'Rook']",5
mM9F0,8/4k3/2P5/1p4p1/4K2p/b6P/6PB/8 b - - 0 43,a3d6 c6c7 d6c7 h2c7,1781,76,96,4422,advancedPawn bishopEndgame crushing endgame short xRayAttack Pawn Bishop,https://lichess.org/QlP6HDNv/black#Some(85),,"['advancedPawn', 'crushing', 'endgame', 'xRayAttack', 'Pawn', 'Bishop']",6
rG6TZ,4r1k1/1q3pp1/6p1/3pr1P1/Q3n2B/7P/PP4P1/1R2R2K b - - 0 34,e4g5 a4e8 e5e8 e1e8 g8h7 h4g5,1795,75,93,3495,crushing long middlegame xRayAttack Queen Rook Bishop,https://lichess.org/8J4RUPft/black#Some(67),,"['crushing', 'middlegame', 'xRayAttack', 'Queen', 'Rook', 'Bishop']",6
ns4kw,5rk1/1b1rp3/pn1q3p/1p1P1ppP/1PpR4/2N2B2/P1PQ2P1/3R2K1 b - - 0 26,e7e5 d5e6 d6d4 d2d4 d7d4 d1d4 b7f3 g2f3,1673,76,93,3755,advantage enPassant middlegame veryLong Pawn Queen Rook,https://lichess.org/crr7LRZ7/black#Some(51),,"['advantage', 'enPassant', 'middlegame', 'Pawn', 'Queen', 'Rook']",6
ZSwh2,r2q1rk1/pp2b1pR/2p3p1/3n2B1/3P4/3B3P/PP3PP1/R2Q2K1 b - - 0 18,g8h7 d1h5 h7g8 d3g6 d5f6 g5f6 f8f6 h5h7 g8f8 h7h8,1749,75,92,1070,deflection mate mateIn5 middlegame pin veryLong Queen Bishop,https://lichess.org/JiXXnQoH/black#Some(35),Slav_Defense Slav_Defense_Modern_Line,"['deflection', 'mateIn5', 'middlegame', 'pin', 'Queen', 'Bishop']",6
f3rP7,1b6/1P6/KPk5/6p1/P5P1/7P/8/8 w - - 1 46,a4a5 c6c5 h3h4 g5h4 g4g5 h4h3 g5g6 h3h2 g6g7 h2h1q g7g8q h1f1 g8c4 f1c4,1695,75,94,11840,advancedPawn bishopEndgame endgame mate mateIn5 promotion veryLong King Pawn Queen,https://lichess.org/6dic4yrl#Some(90),,"['advancedPawn', 'endgame', 'mateIn5', 'promotion', 'King', 'Pawn', 'Queen']",7
vjgXw,r1bqk2r/pp3p2/2p1pn1p/4P1p1/1bP1P3/2N5/PP4PP/R2QKBNR b KQkq - 0 11,f6e4 d1d8 e8d8 e1c1,1686,88,93,13653,advantage castling discoveredAttack middlegame short Queen King,https://lichess.org/GKQfDUm3/black#Some(21),Slav_Defense Slav_Defense_Other_variations,"['advantage', 'castling', 'discoveredAttack', 'middlegame', 'Queen', 'King']",6
FPydb,6Q1/pb2kp2/4pp2/2pq4/8/4R3/P4PPP/1B1rR1K1 w - - 6 32,e1f1 d1f1 g1f1 d5d1 e3e1 b7a6 b1d3 a6d3 f1g1 d1e1,1691,75,95,16008,attraction fork mate mateIn5 middlegame veryLong Rook Queen Bishop,https://lichess.org/KpXpnJ41#Some(62),,"['attraction', 'fork', 'mateIn5', 'middlegame', 'Rook', 'Queen', 'Bishop']",7
RksnD,r3k2r/2qnbppp/p7/1p1R4/6Q1/5B2/PPP2PPP/R5K1 w kq - 1 19,d5d7 c7d7 g4g7 e8c8,1748,88,93,9571,advantage castling defensiveMove middlegame short Queen King,https://lichess.org/lUilIFeY#Some(36),Caro-Kann_Defense Caro-Kann_Defense_Two_Knights_Attack,"['advantage', 'castling', 'defensiveMove', 'middlegame', 'Queen', 'King']",6
FgOKv,r1bqk2r/pp1p1ppp/2N1p3/8/1b2n3/2N1B3/PPP1BPPP/R2QK2R b KQkq - 0 8,d7c6 d1d8 e8d8 e1c1,1816,77,92,1494,castling crushing discoveredAttack opening short Queen King,https://lichess.org/nlzNjkeH/black#Some(15),Sicilian_Defense Sicilian_Defense_Four_Knights_Variation,"['castling', 'crushing', 'discoveredAttack', 'opening', 'Queen', 'King']",6
