PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,GoodRowThemes,CountGoodRowThemes
HPRyA,6k1/ppp2pp1/2nb2q1/7p/1P1Pr3/2PQ2P1/P2B3P/R4RK1 w - - 0 21,a1e1 e4e1 d3g6 e1f1 g1f1 f7g6,1352,75,96,3758,advantage intermezzo kingsideAttack long middlegame Rook Pawn,https://lichess.org/jfJ7c79a#Some(40),,"['advantage', 'intermezzo', 'kingsideAttack', 'middlegame', 'Rook', 'Pawn']",6
GjaQV,8/2p5/p2p1k2/P2P3p/4K2P/8/8/8 b - - 0 42,f6e7 e4f5 c7c5 d5c6,1252,77,94,2530,crushing enPassant endgame pawnEndgame short King Pawn,https://lichess.org/RiVrQeAE/black#Some(83),,"['crushing', 'enPassant', 'endgame', 'King', 'Pawn']",5
KGm8E,3r1Bk1/1pp2ppp/p1q5/8/2p5/2P4b/PP3QP1/3R1R1K b - - 0 22,d8f8 f2f7 f8f7 d1d8 c6e8 d8e8 f7f8 f1f8,1349,76,94,16740,endgame mate mateIn4 sacrifice veryLong Queen Rook,https://lichess.org/D5jz4SPn/black#Some(43),,"['endgame', 'mateIn4', 'sacrifice', 'Queen', 'Rook']",5
KPfCe,rr4k1/4np1p/2pbp1p1/q1np4/P7/1p1BPN2/1B3PPP/RN1Q1RK1 w - - 2 19,d1d2 a5d2 b1d2 c5d3,1230,76,96,12474,capturingDefender crushing middlegame short trappedPiece Queen Knight,https://lichess.org/TJWunZCN#Some(36),Queens_Pawn_Game Queens_Pawn_Game_Other_variations,"['capturingDefender', 'crushing', 'middlegame', 'trappedPiece', 'Queen', 'Knight']",6
PQ5TE,r4rk1/p1pn1qp1/1p2pb1p/8/2PPb3/1P4P1/PB2Q2P/R2RN1K1 w - - 0 22,e2e4 f6d4 e4d4 f7f1,1352,75,93,3117,clearance kingsideAttack mate mateIn2 middlegame sacrifice short Bishop Queen,https://lichess.org/0dEOFzeO#Some(42),,"['clearance', 'kingsideAttack', 'mateIn2', 'middlegame', 'sacrifice', 'Bishop', 'Queen']",7
OUX2s,2b1qr1k/2p3pp/1p3r2/pP1R4/P1P1pN2/1Q2P1P1/5P1P/5RK1 w - - 6 26,d5h5 f6f4 e3f4 e8h5,1261,76,93,2440,advantage capturingDefender middlegame short Rook Queen,https://lichess.org/qekdDEYu#Some(50),,"['advantage', 'capturingDefender', 'middlegame', 'Rook', 'Queen']",5
LX1MS,6k1/1q2npp1/1p2p2p/1Pp5/1r2P3/5N1P/3Q1PP1/3R2K1 b - - 0 34,b4e4 d2d8 g8h7 d1d7,1377,76,94,18597,advantage clearance endgame short Queen Rook,https://lichess.org/YygWHVEo/black#Some(67),,"['advantage', 'clearance', 'endgame', 'Queen', 'Rook']",5
LYYpi,2b1rr1k/2q1b2p/p2pQP2/8/5P1P/1Np5/PPP5/1K2R1R1 w - - 1 26,e6e7 e8e7 f6e7 f8e8,1308,75,93,15164,advantage clearance middlegame short Rook,https://lichess.org/LCPZHu0o#Some(50),,"['advantage', 'clearance', 'middlegame', 'Rook']",4
pqaFs,r2b4/r2k2p1/3p1pP1/2p1pP1p/1pP1P2P/1n1PBQ2/P2R4/1K5R w - - 0 42,a2b3 a7a1 b1c2 a8a2,1287,75,96,3862,mate mateIn2 middlegame queensideAttack short Rook,https://lichess.org/YtzUvUOf#Some(82),,"['mateIn2', 'middlegame', 'queensideAttack', 'Rook']",4
1EgQy,5rk1/p4p2/2p4p/2pp4/6q1/1PPP1Nnb/P4P2/R1Q1R1K1 w - - 0 25,g1h2 g3f1 e1f1 g4g2,1291,75,96,5033,clearance mate mateIn2 middlegame sacrifice short Knight Queen,https://lichess.org/kMfboY6x#Some(48),,"['clearance', 'mateIn2', 'middlegame', 'sacrifice', 'Knight', 'Queen']",6
og50M,r3k2r/pbqp1ppp/1p2pn2/2b1n3/4P3/2NB1N2/PPPBQPPP/2KR3R w kq - 1 11,d2f4 e5d3 d1d3 c7f4,1255,79,93,3544,crushing discoveredAttack middlegame queensideAttack short Knight Queen,https://lichess.org/1TGCrbD1#Some(20),English_Defense English_Defense_Other_variations,"['crushing', 'discoveredAttack', 'middlegame', 'queensideAttack', 'Knight', 'Queen']",6
wYVms,3r2k1/ppQ2ppp/2p1p3/2P5/1P1r4/P1qP4/5PPP/R2R2K1 b - - 6 21,d4d3 c7d8 d3d8 d1d8,1261,77,95,8852,backRankMate endgame mate mateIn2 short xRayAttack Queen Rook,https://lichess.org/ykaQcibH/black#Some(41),,"['endgame', 'mateIn2', 'xRayAttack', 'Queen', 'Rook']",5
JLGTZ,8/8/p3p2R/5p2/P1N3kP/2P3br/1P3K2/8 w - - 3 46,f2e3 g3f4 e3d4 f4h6,1328,76,94,14496,crushing doubleCheck endgame fork short Bishop,https://lichess.org/7w6wa5uL#Some(90),,"['crushing', 'doubleCheck', 'endgame', 'fork', 'Bishop']",5
